site,nei_site,distance
101637,303861,73
101637,304032,155
101637,304035,112
101637,304046,193
101637,404784,106
101637,404802,132
101637,50488,114
101637,52007,109
101637,9003148,175
101637,9003380,172
101637,9004238,178
101637,9013748,134
101637,9014185,164
101637,9014605,140
101637,9014989,190
101637,9015666,189
101637,9017201,200
101637,9018291,114
101637,9021034,183
101637,9026611,84
101637,9026898,95
101637,9027890,142
101637,9028229,185
101664,11572,96
101664,11573,102
101664,132242,197
101664,134454,116
101664,134574,183
101664,134663,115
101664,134906,141
101664,134990,63
101664,136668,158
101664,199023,88
101664,301088,124
101664,301357,192
101664,301895,117
101664,301896,132
101664,302217,160
101664,302517,130
101664,303721,158
101664,304011,186
101664,304022,51
101664,404057,135
101664,43440,152
101664,47315,71
101664,49873,64
101664,50017,15
101664,50151,44
101664,9002487,190
101664,9004030,173
101664,9004237,70
101664,9004388,94
101664,9009803,144
101664,9009953,178
101664,9011369,47
101664,9015484,197
101664,9017039,103
101664,9019334,145
101664,9020794,35
101664,9021706,58
101664,9023124,195
101664,9023328,187
101664,9024242,37
101664,9026553,44
101664,9026935,54
101664,9027333,144
101664,9027341,63
101664,9027505,164
101664,9027546,110
101666,101731,117
101666,11590,143
101666,11597,77
101666,11603,195
101666,130004,107
101666,131140,191
101666,134360,145
101666,134418,150
101666,134453,65
101666,135073,100
101666,135237,79
101666,301238,142
101666,301366,79
101666,301388,185
101666,303677,191
101666,304054,168
101666,304056,15
101666,305394,161
101666,44125,156
101666,51576,129
101666,9002262,98
101666,9003147,66
101666,9004106,168
101666,9004377,131
101666,9015948,47
101666,9016537,83
101666,9018071,90
101666,9020097,136
101666,9022295,118
101666,9025987,45
101666,9028157,168
101731,101666,117
101731,11590,88
101731,11596,144
101731,11597,73
101731,11602,92
101731,11603,177
101731,130004,80
101731,131140,94
101731,134360,100
101731,134453,86
101731,135237,164
101731,301366,88
101731,301388,156
101731,302571,97
101731,303677,163
101731,304056,121
101731,304992,126
101731,403555,198
101731,41933,175
101731,44125,170
101731,49639,159
101731,50686,109
101731,51576,63
101731,9002468,187
101731,9003147,127
101731,9004377,81
101731,9008724,196
101731,9009285,173
101731,9011366,178
101731,9011994,182
101731,9015948,89
101731,9016537,193
101731,9020097,176
101731,9024259,162
101731,9025955,174
101731,9025987,154
101731,9026375,188
101731,9028157,152
101732,10000022,179
101732,11590,124
101732,11602,195
101732,11603,90
101732,130004,156
101732,131140,123
101732,134360,118
101732,134453,197
101732,134733,18
101732,134909,122
101732,206078,152
101732,301366,183
101732,302473,163
101732,302571,140
101732,303237,124
101732,303677,81
101732,303685,148
101732,303852,65
101732,304062,147
101732,304064,55
101732,304369,36
101732,304993,84
101732,403081,160
101732,404546,197
101732,41933,38
101732,44085,174
101732,50686,115
101732,51576,146
101732,9011366,53
101732,9015518,78
101732,9016736,199
101732,9016777,54
101732,9020134,45
101732,9022094,102
101732,9024259,175
101732,9026144,130
101732,9026417,116
101741,11579,158
101741,11591,168
101741,11593,153
101741,11594,186
101741,134449,163
101741,135231,70
101741,135306,74
101741,140785,51
101741,300787,150
101741,301205,188
101741,301206,137
101741,303710,172
101741,303723,129
101741,304364,186
101741,304370,116
101741,304562,142
101741,304987,198
101741,305720,170
101741,305884,171
101741,34603,133
101741,49115,132
101741,50670,181
101741,50671,196
101741,50672,135
101741,50680,146
101741,51106,177
101741,51746,179
101741,9002053,103
101741,9002458,97
101741,9007817,126
101741,9008787,176
101741,9012344,136
101741,9013786,99
101741,9014118,112
101741,9014611,168
101741,9024210,194
101741,9026297,138
101798,133491,160
101798,303099,180
101798,304074,90
101798,304749,157
101798,305852,66
101798,570397,59
101798,9012657,68
101805,11593,159
101805,11594,57
101805,130005,198
101805,135231,180
101805,135306,165
101805,135390,133
101805,137452,198
101805,206081,192
101805,301890,141
101805,303077,155
101805,303625,60
101805,303719,167
101805,303723,98
101805,303999,78
101805,304005,74
101805,304370,105
101805,304562,125
101805,304987,96
101805,305720,111
101805,34603,173
101805,36210,159
101805,37568,60
101805,405026,87
101805,49115,150
101805,49989,183
101805,49990,108
101805,49991,22
101805,50672,103
101805,51746,39
101805,9002053,199
101805,9008787,54
101805,9011518,184
101805,9012344,83
101805,9012380,173
101805,9013786,116
101805,9014118,115
101805,9014611,50
101805,9017058,99
101805,9021295,97
101805,9023879,196
101805,9024203,158
101805,9024389,200
101818,134039,161
101818,136588,46
101818,300988,180
101818,303820,104
101818,304065,89
101818,304067,95
101818,304961,131
101818,305424,91
101818,35557,199
101818,49916,88
101818,50901,67
101818,55715,180
101818,9002457,200
101818,9004503,68
101818,9007837,159
101826,301774,114
101826,570455,193
101826,9013187,100
101826,9020677,45
101830,134040,118
101830,142260,154
101830,301603,198
101830,304087,131
101830,304621,128
101830,304978,170
101830,306318,97
101830,41133,168
101830,50201,176
101925,301713,32
101925,9009286,53
102017,10017350,190
102017,303002,94
102017,9015632,128
102171,304061,138
102171,305787,188
102171,9015647,177
102171,9016563,144
102171,9017589,120
102171,9019783,178
102171,9022583,127
102172,132959,128
102172,135274,147
102172,137479,126
102172,300839,47
102172,301403,197
102172,301645,177
102172,301901,77
102172,302012,85
102172,303676,167
102172,303799,199
102172,303861,169
102172,304046,85
102172,304054,159
102172,304984,128
102172,306142,169
102172,404854,171
102172,44125,195
102172,9003148,90
102172,9004106,142
102172,9004238,197
102172,9004354,168
102172,9014185,167
102172,9016767,171
102172,9016811,142
102172,9017250,154
102172,9018291,180
102172,9020097,181
102172,9021034,139
102172,9022295,182
102172,9027890,183
102174,11581,197
102174,134836,61
102174,135084,178
102174,138801,55
102174,139083,59
102174,301344,180
102174,303563,57
102174,303932,146
102174,303989,117
102174,9001289,150
102174,9002279,87
102174,9002654,40
102174,9013019,144
102174,9016669,186
102174,9023256,169
102174,9024393,151
102174,9026345,138
102174,9026991,130
102196,43603,182
102196,9028145,130
102207,101342,157
102207,101385,101
102207,11571,40
102207,11600,111
102207,134554,102
102207,134941,114
102207,135009,131
102207,206052,173
102207,206068,174
102207,206082,183
102207,301382,148
102207,301830,50
102207,302643,151
102207,303652,73
102207,303713,130
102207,304019,92
102207,304024,144
102207,305765,162
102207,404802,194
102207,41660,101
102207,43439,185
102207,44101,64
102207,50669,92
102207,51590,159
102207,9002988,99
102207,9003154,152
102207,9003380,158
102207,9004443,28
102207,9012940,47
102207,9014989,140
102207,9015396,177
102207,9017674,196
102207,9022109,122
102207,9022245,199
102207,9024212,100
102207,9027615,148
11569,11606,105
11569,11608,58
11569,11609,27
11569,134857,101
11569,135189,62
11569,135336,115
11569,301348,105
11569,303560,81
11569,304363,122
11569,304980,143
11569,9022867,138
11571,101342,181
11571,101385,104
11571,102207,40
11571,11600,105
11571,134554,102
11571,134822,196
11571,134941,90
11571,135009,141
11571,206052,197
11571,206082,143
11571,301356,194
11571,301382,187
11571,301830,64
11571,302643,191
11571,303652,36
11571,303711,200
11571,303713,168
11571,304009,170
11571,304019,92
11571,304024,170
11571,305765,125
11571,41660,62
11571,43439,189
11571,44101,94
11571,50669,67
11571,51590,120
11571,9002988,135
11571,9003154,173
11571,9003380,196
11571,9004443,44
11571,9009373,187
11571,9012940,52
11571,9014989,180
11571,9015396,149
11571,9017674,160
11571,9022109,122
11571,9024212,130
11571,9027615,180
11572,101394,150
11572,101664,96
11572,11573,58
11572,132242,179
11572,134454,66
11572,134574,163
11572,134663,180
11572,134906,143
11572,134990,133
11572,136668,176
11572,199023,36
11572,301088,200
11572,301357,185
11572,301895,40
11572,302217,166
11572,303721,63
11572,304011,97
11572,304022,115
11572,404057,96
11572,47315,79
11572,49873,72
11572,50017,81
11572,50151,123
11572,9004237,165
11572,9004388,136
11572,9009803,197
11572,9009953,170
11572,9011369,100
11572,9013096,179
11572,9015991,190
11572,9017039,187
11572,9018584,176
11572,9019334,162
11572,9020794,63
11572,9021706,136
11572,9022576,198
11572,9023124,99
11572,9023838,190
11572,9023930,146
11572,9024242,72
11572,9026553,133
11572,9026935,77
11572,9027341,153
11572,9027505,199
11572,9027546,99
11573,101394,117
11573,101521,175
11573,101664,102
11573,11572,58
11573,132242,122
11573,134454,14
11573,134574,105
11573,134906,86
11573,134990,158
11573,199023,91
11573,301357,127
11573,301895,99
11573,302217,108
11573,302517,171
11573,303721,103
11573,304011,142
11573,304022,92
11573,404057,40
11573,47315,123
11573,49873,43
11573,50017,92
11573,50151,142
11573,9004237,168
11573,9004388,94
11573,9011369,129
11573,9013096,126
11573,9015484,167
11573,9019968,183
11573,9020794,69
11573,9021706,156
11573,9022769,180
11573,9023124,125
11573,9023328,170
11573,9023838,198
11573,9024242,99
11573,9026553,146
11573,9026935,54
11573,9027341,165
11573,9027546,151
11575,101386,88
11575,101406,106
11575,101521,198
11575,132242,168
11575,134574,184
11575,135009,191
11575,142163,71
11575,206052,183
11575,301357,160
11575,302217,183
11575,303712,86
11575,303846,199
11575,304026,112
11575,304028,174
11575,304434,104
11575,304991,105
11575,43050,116
11575,43051,114
11575,43439,139
11575,47755,40
11575,49119,160
11575,50678,58
11575,51622,113
11575,51718,199
11575,53115,195
11575,9008249,53
11575,9009373,188
11575,9010789,124
11575,9013096,187
11575,9015484,146
11575,9019968,140
11575,9022766,175
11575,9022769,109
11575,9023328,163
11579,101351,171
11579,101741,158
11579,11599,50
11579,134245,64
11579,134449,192
11579,134547,83
11579,136513,118
11579,140785,133
11579,301205,114
11579,303710,189
11579,303991,172
11579,303993,181
11579,303995,78
11579,304002,152
11579,304371,57
11579,43436,95
11579,43837,197
11579,50670,25
11579,51106,58
11579,53003,170
11579,9002458,200
11579,9015168,119
11579,9016459,147
11579,9016706,169
11579,9018845,127
11579,9020126,110
11579,9022638,142
11579,9024210,91
11579,9026297,72
11579,9026315,171
11581,101351,185
11581,102174,197
11581,134836,186
11581,136513,163
11581,301205,149
11581,301882,121
11581,303563,159
11581,303932,184
11581,303991,110
11581,43837,103
11581,49535,174
11581,9002469,161
11581,9002654,176
11581,9009844,101
11581,9010899,143
11581,9011095,178
11581,9015093,182
11581,9016706,102
11581,9016864,135
11581,9018845,168
11581,9020126,188
11581,9024210,161
11581,9026315,130
11581,9026991,84
11584,305578,78
11585,10000022,68
11585,11603,183
11585,134418,181
11585,301238,195
11585,303237,128
11585,304062,118
11585,304744,24
11585,304986,105
11585,305394,141
11585,42988,89
11585,44126,35
11585,461603,200
11585,49884,45
11585,9011897,21
11585,9016736,99
11585,9026144,118
11585,9026417,140
11588,101496,34
11588,130989,165
11588,131376,181
11588,205432,187
11588,301243,114
11588,301912,105
11588,302923,165
11588,303678,49
11588,304060,151
11588,305882,146
11588,42911,179
11588,50970,157
11588,51591,154
11588,9024278,87
11590,101666,143
11590,101731,88
11590,101732,124
11590,11597,144
11590,11602,129
11590,11603,90
11590,130004,36
11590,131140,67
11590,134360,13
11590,134453,79
11590,134733,139
11590,135073,198
11590,301366,67
11590,302571,90
11590,303237,185
11590,303677,75
11590,303852,186
11590,304056,154
11590,304062,146
11590,304064,166
11590,304369,145
11590,304992,190
11590,304993,177
11590,305394,160
11590,41933,90
11590,50686,79
11590,51576,26
11590,9003147,185
11590,9004377,168
11590,9011366,91
11590,9015518,164
11590,9015948,96
11590,9016537,190
11590,9016736,177
11590,9016777,177
11590,9020134,130
11590,9024259,164
11590,9025987,188
11590,9026144,181
11590,9026417,132
11591,101741,168
11591,11593,89
11591,132205,146
11591,135306,119
11591,137270,183
11591,138801,198
11591,140785,144
11591,206081,107
11591,301205,200
11591,303077,196
11591,303989,168
11591,303991,186
11591,304987,166
11591,305884,16
11591,404118,147
11591,49989,168
11591,50680,25
11591,9001289,97
11591,9002458,72
11591,9008787,193
11591,9012344,176
11591,9013786,189
11591,9014118,147
11591,9016669,47
11591,9026345,167
11591,9026551,199
11593,101741,153
11593,101805,159
11593,11591,89
11593,11594,178
11593,132205,121
11593,135231,179
11593,135306,80
11593,135390,178
11593,137270,143
11593,140785,157
11593,206081,71
11593,301885,191
11593,303077,130
11593,303723,152
11593,303999,179
11593,304370,143
11593,304562,194
11593,304987,79
11593,305884,76
11593,37568,149
11593,404118,171
11593,49989,117
11593,49990,144
11593,49991,147
11593,50672,167
11593,50680,93
11593,51746,124
11593,9001289,172
11593,9002458,94
11593,9008787,105
11593,9011518,195
11593,9012344,96
11593,9013786,124
11593,9014118,74
11593,9014611,147
11593,9016669,131
11593,9017058,119
11594,101741,186
11594,101805,57
11594,11593,178
11594,134822,196
11594,135231,138
11594,135306,157
11594,135390,190
11594,300787,160
11594,301206,189
11594,301890,197
11594,303625,28
11594,303711,169
11594,303723,58
11594,303999,135
11594,304005,97
11594,304009,183
11594,304370,70
11594,304562,72
11594,304987,135
11594,305720,54
11594,34603,119
11594,36210,187
11594,37568,117
11594,405026,103
11594,49115,97
11594,49990,163
11594,49991,78
11594,50672,56
11594,51746,62
11594,9002053,149
11594,9007817,171
11594,9008787,81
11594,9012344,83
11594,9013786,90
11594,9014118,114
11594,9014611,30
11594,9017058,150
11594,9017674,182
11594,9021295,147
11594,9024203,116
11596,101731,144
11596,11597,156
11596,11602,120
11596,131140,191
11596,134565,154
11596,139391,88
11596,301240,142
11596,301388,106
11596,302571,174
11596,303676,183
11596,304992,57
11596,403555,55
11596,44125,165
11596,49639,22
11596,50686,198
11596,51576,200
11596,9002468,145
11596,9003147,198
11596,9003894,156
11596,9004377,104
11596,9008724,85
11596,9009285,49
11596,9010066,162
11596,9010884,181
11596,9011371,118
11596,9011994,43
11596,9017201,149
11596,9020097,196
11596,9022120,152
11596,9022868,116
11596,9024259,181
11596,9024831,114
11596,9025955,83
11596,9026375,130
11596,9028157,122
11597,101666,77
11597,101731,73
11597,11590,144
11597,11596,156
11597,11602,156
11597,130004,119
11597,131140,166
11597,132959,182
11597,134360,152
11597,134453,95
11597,135073,177
11597,135237,95
11597,301366,106
11597,301388,116
11597,302571,170
11597,303676,164
11597,304054,197
11597,304056,71
11597,304992,164
11597,44125,107
11597,49639,163
11597,50686,182
11597,51576,121
11597,9002262,147
11597,9003147,56
11597,9004106,187
11597,9004377,54
11597,9009285,199
11597,9011994,199
11597,9015948,83
11597,9016537,159
11597,9018071,151
11597,9020097,106
11597,9022295,138
11597,9024831,185
11597,9025987,97
11597,9028157,103
11599,101351,131
11599,11579,50
11599,134245,50
11599,134547,48
11599,134872,182
11599,136513,92
11599,140785,182
11599,301205,132
11599,301349,180
11599,303991,189
11599,303993,136
11599,303995,36
11599,304002,130
11599,304371,30
11599,305420,195
11599,37451,188
11599,43436,73
11599,43837,175
11599,50670,32
11599,51106,67
11599,53003,142
11599,9002469,179
11599,9015093,174
11599,9015168,118
11599,9016459,152
11599,9016706,152
11599,9018845,97
11599,9020126,75
11599,9022638,96
11599,9024210,101
11599,9026297,103
11599,9026315,145
11600,101342,119
11600,102207,111
11600,11571,105
11600,134554,16
11600,134941,52
11600,134980,176
11600,206068,152
11600,206082,192
11600,301673,177
11600,301716,149
11600,301830,65
11600,303652,92
11600,304019,196
11600,304020,174
11600,304024,116
11600,305501,163
11600,305765,123
11600,306249,165
11600,41660,137
11600,44101,93
11600,50669,57
11600,51590,186
11600,9000552,174
11600,9002988,196
11600,9003154,104
11600,9004443,83
11600,9012940,63
11600,9015396,99
11600,9022245,108
11600,9025986,162
11601,133978,173
11601,134245,200
11601,134449,107
11601,134923,157
11601,134980,68
11601,300787,180
11601,301206,154
11601,301658,146
11601,301716,105
11601,303710,95
11601,304002,157
11601,304364,87
11601,304982,29
11601,305420,106
11601,305501,70
11601,305765,173
11601,306249,77
11601,43436,187
11601,50668,159
11601,50671,71
11601,51106,186
11601,51501,95
11601,53003,173
11601,53382,166
11601,9000552,162
11601,9007817,174
11601,9015168,132
11601,9015396,143
11601,9015971,126
11601,9016459,97
11601,9017597,20
11601,9025986,197
11601,9026297,174
11602,101731,92
11602,101732,195
11602,11590,129
11602,11596,120
11602,11597,156
11602,130004,145
11602,131140,77
11602,134317,156
11602,134360,141
11602,134453,170
11602,139391,147
11602,206022,182
11602,301366,166
11602,301388,191
11602,301393,160
11602,302571,55
11602,303677,193
11602,303847,169
11602,304992,70
11602,304993,192
11602,403555,158
11602,41933,182
11602,49639,142
11602,50686,80
11602,51576,113
11602,9002468,96
11602,9003894,146
11602,9004377,134
11602,9008724,130
11602,9009285,121
11602,9010066,199
11602,9011366,194
11602,9011371,127
11602,9011994,140
11602,9015518,179
11602,9015948,177
11602,9022868,165
11602,9024259,78
11602,9025955,102
11602,9026375,101
11602,9028157,197
11603,10000022,126
11603,101666,195
11603,101731,177
11603,101732,90
11603,11585,183
11603,11590,90
11603,130004,104
11603,131140,136
11603,134360,78
11603,134418,184
11603,134453,135
11603,134733,94
11603,134909,174
11603,206078,187
11603,301238,192
11603,301366,121
11603,302571,161
11603,303237,95
11603,303677,18
11603,303852,128
11603,304062,67
11603,304064,103
11603,304369,87
11603,304744,160
11603,304986,160
11603,304993,172
11603,305394,120
11603,41933,57
11603,42988,145
11603,44126,150
11603,49884,166
11603,50686,140
11603,51576,115
11603,9011366,38
11603,9011897,163
11603,9015518,164
11603,9015948,152
11603,9016736,114
11603,9016777,136
11603,9020134,64
11603,9022094,191
11603,9026144,91
11603,9026417,44
11606,11569,105
11606,11608,125
11606,11609,107
11606,134857,169
11606,135189,89
11606,135336,77
11606,301348,150
11606,301884,172
11606,303560,146
11606,304980,111
11608,11569,58
11608,11606,125
11608,11609,32
11608,134857,156
11608,135189,117
11608,135336,94
11608,300620,200
11608,301348,163
11608,301884,158
11608,303560,137
11608,304363,170
11608,304980,194
11608,9022867,183
11609,11569,27
11609,11606,107
11609,11608,32
11609,134857,127
11609,135189,85
11609,135336,98
11609,301348,131
11609,301884,178
11609,303560,107
11609,304363,145
11609,304980,164
11609,9022867,160
11678,10013707,117
11678,303732,174
130004,101666,107
130004,101731,80
130004,101732,156
130004,11590,36
130004,11597,119
130004,11602,145
130004,11603,104
130004,131140,97
130004,134360,38
130004,134418,177
130004,134453,43
130004,134733,170
130004,135073,165
130004,135237,181
130004,301238,177
130004,301366,30
130004,302571,117
130004,303237,199
130004,303677,94
130004,304056,119
130004,304062,146
130004,304064,194
130004,304369,174
130004,304986,196
130004,304992,198
130004,305394,142
130004,41933,120
130004,42988,193
130004,50686,111
130004,51576,34
130004,9003147,154
130004,9004377,152
130004,9011366,116
130004,9015948,60
130004,9016537,155
130004,9016736,167
130004,9018071,191
130004,9020134,156
130004,9024259,192
130004,9025987,152
130004,9026144,193
130004,9026417,140
130005,101521,187
130005,101805,198
130005,132314,113
130005,133371,154
130005,134680,88
130005,134901,59
130005,137452,176
130005,137823,198
130005,206055,145
130005,301890,169
130005,301893,74
130005,303121,65
130005,303255,81
130005,303625,198
130005,303719,197
130005,303999,173
130005,304005,127
130005,305273,182
130005,305430,101
130005,36210,40
130005,37568,199
130005,405026,120
130005,49993,97
130005,9003040,196
130005,9010344,181
130005,9012380,188
130005,9020558,107
130005,9021295,132
130005,9022424,128
130005,9022640,113
130005,9023880,155
130005,9023884,64
130005,9024389,120
130154,152326,134
130154,304983,117
130154,50649,185
130154,9001037,130
130154,9015254,143
130154,9023917,167
130438,134462,14
130438,300538,157
130438,48699,176
130439,133216,157
130439,134565,87
130439,134754,145
130439,138060,164
130439,139391,154
